time: 1e-09, e: 1000000000000.0, Ar2^+: 0, Ar*: 0, Ar2(W)^+: 0, Ar(W)^+: 0, Ar^+: 1000000000000.0, Ar: 3.2187760973281406e+24, e(W): 0, EN: 77.66808103688814
time: 1.00000008720593e-09, e: 1000000010187.9739, Ar2^+: 206.79999999999933, Ar*: 99603.90000011907, Ar2(W)^+: 0, Ar(W)^+: 1.1, Ar^+: 1000000009980.0785, Ar: 3.2187760973281406e+24, e(W): 0, EN: 77.66530800022072
time: 1.0000001829800483e-09, e: 1000000021430.8552, Ar2^+: 405.2399999999971, Ar*: 209159.7199997597, Ar2(W)^+: 0, Ar(W)^+: 2.3100000000000005, Ar^+: 1000000021023.392, Ar: 3.2187760973281406e+24, e(W): 1.2100000000000002, EN: 77.66530800017614
time: 1.0000002882883583e-09, e: 1000000033769.9315, Ar2^+: 624.8549999999999, Ar*: 329700.40400026576, Ar2(W)^+: 0, Ar(W)^+: 2.3100000000000005, Ar^+: 1000000033143.976, Ar: 3.2187760973281406e+24, e(W): 1.2100000000000002, EN: 77.66530800012721
time: 1.00000040424917e-09, e: 1000000047405.2003, Ar2^+: 919.139100000006, Ar*: 462180.95659871516, Ar2(W)^+: 0, Ar(W)^+: 2.3100000000000005, Ar^+: 1000000046484.9584, Ar: 3.2187760973281406e+24, e(W): 1.2100000000000002, EN: 77.66530800007317
time: 1.0000005313961243e-09, e: 1000000062324.1483, Ar2^+: 1209.0309000000018, Ar*: 608023.910671225, Ar2(W)^+: 0, Ar(W)^+: 2.3100000000000005, Ar^+: 1000000061112.8904, Ar: 3.2187760973281406e+24, e(W): 1.2100000000000002, EN: 77.66530800001401
time: 1.0000006722122389e-09, e: 1000000078942.4431, Ar2^+: 1550.9421730000056, Ar*: 768215.5425379819, Ar2(W)^+: 0, Ar(W)^+: 2.3100000000000005, Ar^+: 1000000077392.182, Ar: 3.2187760973281406e+24, e(W): 2.981561000000001, EN: 77.66530799994811
time: 1.0000008263327378e-09, e: 1000000096905.8406, Ar2^+: 1899.7625339000176, Ar*: 944767.363077592, Ar2(W)^+: 0, Ar(W)^+: 6.207434200000003, Ar^+: 1000000095004.808, Ar: 3.2187760973281406e+24, e(W): 4.930278100000002, EN: 77.66530799987689
time: 1.0000009963975835e-09, e: 1000000116711.2703, Ar2^+: 2285.6085197000148, Ar*: 1138929.3503093175, Ar2(W)^+: 0, Ar(W)^+: 8.351023010000006, Ar^+: 1000000114423.2699, Ar: 3.2187760973281406e+24, e(W): 7.073866910000004, EN: 77.66530799979836
time: 1.000001182547116e-09, e: 1000000139086.6381, Ar2^+: 2764.2719009730017, Ar*: 1351870.89039816, Ar2(W)^+: 0, Ar(W)^+: 8.351023010000006, Ar^+: 1000000136318.8236, Ar: 3.2187760973281406e+24, e(W): 7.073866910000004, EN: 77.66530799970964
time: 1.0000013870447104e-09, e: 1000000163916.6068, Ar2^+: 3225.9580588708377, Ar*: 1585950.9599293624, Ar2(W)^+: 0, Ar(W)^+: 10.944765470100009, Ar^+: 1000000160684.5111, Ar: 3.2187760973281406e+24, e(W): 7.073866910000004, EN: 77.66530799961119
time: 1.0000016134947897e-09, e: 1000000190806.3895, Ar2^+: 3802.287633505075, Ar*: 1843795.6760019367, Ar2(W)^+: 0, Ar(W)^+: 10.944765470100009, Ar^+: 1000000186999.1082, Ar: 3.2187760973281406e+24, e(W): 7.073866910000004, EN: 77.66530799950458
time: 1.000001860986628e-09, e: 1000000220241.7032, Ar2^+: 4382.896883198478, Ar*: 2127610.0309663625, Ar2(W)^+: 0, Ar(W)^+: 17.221622223542017, Ar^+: 1000000215850.6743, Ar: 3.2187760973281406e+24, e(W): 10.212295286721007, EN: 77.66530799938785
time: 1.0000021346634065e-09, e: 1000000252271.869, Ar2^+: 4969.782989645369, Ar*: 2440209.73714283, Ar2(W)^+: 0, Ar(W)^+: 20.67389343793512, Ar^+: 1000000247293.9541, Ar: 3.2187760973281406e+24, e(W): 13.66456650111411, EN: 77.66530799926086
time: 1.0000024349628326e-09, e: 1000000287425.1909, Ar2^+: 5668.522683438575, Ar*: 2784088.4014665736, Ar2(W)^+: 0, Ar(W)^+: 32.066388445432366, Ar^+: 1000000281740.9437, Ar: 3.2187760973281406e+24, e(W): 17.462064836946524, EN: 77.66530799912148
time: 1.0000027645160459e-09, e: 1000000326181.6802, Ar2^+: 6487.263324644128, Ar*: 3162225.4374872786, Ar2(W)^+: 0, Ar(W)^+: 36.24363661484802, Ar^+: 1000000319678.6927, Ar: 3.2187760973281406e+24, e(W): 21.63931300636218, EN: 77.6653079989678
time: 1.0000031285097625e-09, e: 1000000368262.4219, Ar2^+: 7401.662948929147, Ar*: 3578722.9789080652, Ar2(W)^+: 0, Ar(W)^+: 40.83860960120524, Ar^+: 1000000360840.4403, Ar: 3.2187760973281406e+24, e(W): 21.63931300636218, EN: 77.66530799880096
time: 1.0000035303348326e-09, e: 1000000414909.8796, Ar2^+: 8286.195248802911, Ar*: 4036627.6598930373, Ar2(W)^+: 0, Ar(W)^+: 40.83860960120524, Ar^+: 1000000406608.4249, Ar: 3.2187760973281406e+24, e(W): 26.693783291355125, EN: 77.665307998616
time: 1.000003970474429e-09, e: 1000000466589.4896, Ar2^+: 9225.821274783128, Ar*: 4539983.654008305, Ar2(W)^+: 0, Ar(W)^+: 57.518361541681955, Ar^+: 1000000457331.7258, Ar: 3.2187760973281406e+24, e(W): 26.693783291355125, EN: 77.6653079984111
time: 1.0000044560182876e-09, e: 1000000523790.9852, Ar2^+: 10345.032629989182, Ar*: 5093234.902094654, Ar2(W)^+: 0, Ar(W)^+: 63.63427058652342, Ar^+: 1000000513415.1414, Ar: 3.2187760973281406e+24, e(W): 32.80969233619659, EN: 77.66530799818429
time: 1.0000049898115777e-09, e: 1000000586759.6082, Ar2^+: 11508.89012122252, Ar*: 5701831.457548461, Ar2(W)^+: 0, Ar(W)^+: 70.36177053584903, Ar^+: 1000000575221.0427, Ar: 3.2187760973281406e+24, e(W): 39.5371922855222, EN: 77.66530799793462
time: 1.000005574866205e-09, e: 1000000656307.332, Ar2^+: 12974.139610185537, Ar*: 6370828.852992141, Ar2(W)^+: 0, Ar(W)^+: 70.36177053584903, Ar^+: 1000000643310.9137, Ar: 3.2187760973281406e+24, e(W): 46.93744222978037, EN: 77.66530799765886
time: 1.0000062215563474e-09, e: 1000000732475.7335, Ar2^+: 14390.547449516454, Ar*: 7107246.965635228, Ar2(W)^+: 0, Ar(W)^+: 78.50204547453302, Ar^+: 1000000718062.9102, Ar: 3.2187760973281406e+24, e(W): 55.07771716846436, EN: 77.66530799735685
