# all rates in (m3/s)

mean energy
E/N (Td)    Mean energy (eV)
--------------------
0.1000	0.7910
0.1097	0.8266	
0.1205	0.8641	
0.1322	0.9036	
0.1451	0.9454	
0.1592	0.9892	
0.1748	1.035	
0.1918	1.084	
0.2105	1.134	
0.2310	1.187	
0.2535	1.242	
0.2783	1.300	
0.3054	1.361	
0.3352	1.423	
0.3678	1.489	
0.4037	1.558	
0.4431	1.629	
0.4863	1.704	
0.5337	1.782	
0.5857	1.863	
0.6428	1.948	
0.7055	2.036	
0.7743	2.128	
0.8498	2.222	
0.9326	2.321	
1.024	2.423	
1.123	2.530	
1.233	2.640	
1.353	2.755	
1.485	2.873	
1.630	2.997	
1.789	3.126	
1.963	3.260	
2.154	3.400	
2.364	3.546	
2.595	3.700	
2.848	3.861	
3.126	4.030	
3.430	4.205	
3.765	4.381	
4.132	4.551	
4.535	4.706	
4.977	4.839	
5.462	4.949	
5.995	5.036	
6.579	5.104	
7.221	5.159	
7.925	5.203	
8.697	5.241	
9.545	5.275	
10.48	5.307	
11.50	5.339	
12.62	5.371	
13.85	5.405	
15.20	5.440	
16.68	5.477	
18.31	5.517	
20.09	5.559	
22.05	5.603	
24.20	5.651	
26.56	5.701	
29.15	5.754	
31.99	5.809	
35.11	5.867	
38.54	5.928	
42.29	5.991	
46.42	6.057	
50.94	6.125	
55.91	6.196	
61.36	6.270	
67.34	6.347	
73.91	6.427	
81.11	6.511	
89.02	6.598	
97.70	6.690	
107.2	6.787	
117.7	6.888	
129.2	6.996	
141.7	7.111	
155.6	7.233	
170.7	7.364	
187.4	7.505	
205.7	7.657	
225.7	7.821	
247.7	8.000	
271.9	8.196	
298.4	8.410	
327.5	8.646	
359.4	8.906	
394.4	9.194	
432.9	9.514	
475.1	9.870	
521.4	10.27	
572.2	10.72	
628.0	11.22	
689.3	11.78	
756.5	12.42	
830.2	13.15	
911.2	13.97	
1000.	14.90
-------------------

mobility
E/N (Td)    Mobility *N (1/m/V/s)
-----------------------
0.1000	0.1641E+26	
0.1097	0.1534E+26	
0.1205	0.1434E+26	
0.1322	0.1341E+26	
0.1451	0.1254E+26	
0.1592	0.1172E+26	
0.1748	0.1095E+26	
0.1918	0.1023E+26	
0.2105	0.9551E+25	
0.2310	0.8917E+25	
0.2535	0.8322E+25	
0.2783	0.7765E+25	
0.3054	0.7243E+25	
0.3352	0.6755E+25	
0.3678	0.6299E+25	
0.4037	0.5873E+25	
0.4431	0.5475E+25	
0.4863	0.5103E+25	
0.5337	0.4756E+25	
0.5857	0.4432E+25	
0.6428	0.4129E+25	
0.7055	0.3846E+25	
0.7743	0.3581E+25	
0.8498	0.3334E+25	
0.9326	0.3103E+25	
1.024	0.2888E+25	
1.123	0.2686E+25	
1.233	0.2499E+25	
1.353	0.2324E+25	
1.485	0.2161E+25	
1.630	0.2010E+25	
1.789	0.1870E+25	
1.963	0.1740E+25	
2.154	0.1619E+25	
2.364	0.1507E+25	
2.595	0.1403E+25	
2.848	0.1307E+25	
3.126	0.1219E+25	
3.430	0.1140E+25	
3.765	0.1071E+25	
4.132	0.1016E+25	
4.535	0.9770E+24	
4.977	0.9531E+24	
5.462	0.9423E+24	
5.995	0.9409E+24	
6.579	0.9453E+24	
7.221	0.9522E+24	
7.925	0.9595E+24	
8.697	0.9659E+24	
9.545	0.9707E+24	
10.48	0.9735E+24	
11.50	0.9744E+24	
12.62	0.9734E+24	
13.85	0.9706E+24	
15.20	0.9662E+24	
16.68	0.9604E+24	
18.31	0.9534E+24	
20.09	0.9454E+24	
22.05	0.9364E+24	
24.20	0.9268E+24	
26.56	0.9166E+24	
29.15	0.9060E+24	
31.99	0.8951E+24	
35.11	0.8840E+24	
38.54	0.8729E+24	
42.29	0.8617E+24	
46.42	0.8508E+24	
50.94	0.8400E+24	
55.91	0.8294E+24	
61.36	0.8191E+24	
67.34	0.8091E+24	
73.91	0.7993E+24	
81.11	0.7897E+24	
89.02	0.7803E+24	
97.70	0.7712E+24	
107.2	0.7622E+24	
117.7	0.7534E+24	
129.2	0.7446E+24	
141.7	0.7360E+24	
155.6	0.7274E+24	
170.7	0.7188E+24	
187.4	0.7102E+24	
205.7	0.7017E+24	
225.7	0.6931E+24	
247.7	0.6846E+24	
271.9	0.6760E+24	
298.4	0.6675E+24	
327.5	0.6591E+24	
359.4	0.6508E+24	
394.4	0.6426E+24	
432.9	0.6346E+24	
475.1	0.6268E+24	
521.4	0.6192E+24	
572.2	0.6118E+24	
628.0	0.6046E+24	
689.3	0.5977E+24	
756.5	0.5911E+24	
830.2	0.5845E+24	
911.2	0.5780E+24	
1000.	0.5716E+24	
--------------------


E/N (Td)    Ar - Elastic
------------------
0.1000	0.5975E-14	
0.1097	0.6422E-14	
0.1205	0.6901E-14	
0.1322	0.7415E-14	
0.1451	0.7965E-14	
0.1592	0.8555E-14	
0.1748	0.9186E-14	
0.1918	0.9861E-14	
0.2105	0.1058E-13	
0.2310	0.1136E-13	
0.2535	0.1218E-13	
0.2783	0.1307E-13	
0.3054	0.1401E-13	
0.3352	0.1503E-13	
0.3678	0.1611E-13	
0.4037	0.1728E-13	
0.4431	0.1852E-13	
0.4863	0.1986E-13	
0.5337	0.2129E-13	
0.5857	0.2283E-13	
0.6428	0.2448E-13	
0.7055	0.2624E-13	
0.7743	0.2813E-13	
0.8498	0.3016E-13	
0.9326	0.3233E-13	
1.024	0.3466E-13	
1.123	0.3717E-13	
1.233	0.3985E-13	
1.353	0.4273E-13	
1.485	0.4583E-13	
1.630	0.4916E-13	
1.789	0.5274E-13	
1.963	0.5659E-13	
2.154	0.6073E-13	
2.364	0.6519E-13	
2.595	0.7000E-13	
2.848	0.7517E-13	
3.126	0.8070E-13	
3.430	0.8655E-13	
3.765	0.9255E-13	
4.132	0.9845E-13	
4.535	0.1039E-12	
4.977	0.1087E-12	
5.462	0.1127E-12	
5.995	0.1159E-12	
6.579	0.1184E-12	
7.221	0.1205E-12	
7.925	0.1221E-12	
8.697	0.1235E-12	
9.545	0.1248E-12	
10.48	0.1259E-12	
11.50	0.1270E-12	
12.62	0.1281E-12	
13.85	0.1293E-12	
15.20	0.1304E-12	
16.68	0.1317E-12	
18.31	0.1329E-12	
20.09	0.1343E-12	
22.05	0.1357E-12	
24.20	0.1372E-12	
26.56	0.1387E-12	
29.15	0.1403E-12	
31.99	0.1419E-12	
35.11	0.1437E-12	
38.54	0.1454E-12	
42.29	0.1472E-12	
46.42	0.1491E-12	
50.94	0.1510E-12	
55.91	0.1529E-12	
61.36	0.1548E-12	
67.34	0.1568E-12	
73.91	0.1589E-12	
81.11	0.1609E-12	
89.02	0.1630E-12	
97.70	0.1651E-12	
107.2	0.1672E-12	
117.7	0.1694E-12	
129.2	0.1716E-12	
141.7	0.1739E-12	
155.6	0.1762E-12	
170.7	0.1785E-12	
187.4	0.1809E-12	
205.7	0.1833E-12	
225.7	0.1858E-12	
247.7	0.1883E-12	
271.9	0.1908E-12	
298.4	0.1934E-12	
327.5	0.1959E-12	
359.4	0.1986E-12	
394.4	0.2012E-12	
432.9	0.2038E-12	
475.1	0.2063E-12	
521.4	0.2088E-12	
572.2	0.2112E-12	
628.0	0.2135E-12	
689.3	0.2155E-12	
756.5	0.2173E-12	
830.2	0.2188E-12	
911.2	0.2200E-12	
1000.	0.2207E-12	
-------------------------

excitation
E/N (Td)    Ar - Excitation
------------------------
0.1000	0.0	
0.1097	0.0	
0.1205	0.0	
0.1322	0.0	
0.1451	0.0	
0.1592	0.0	
0.1748	0.0	
0.1918	0.0	
0.2105	0.0	
0.2310	0.0	
0.2535	0.0	
0.2783	0.0	
0.3054	0.0	
0.3352	0.0	
0.3678	0.0	
0.4037	0.0	
0.4431	0.0	
0.4863	0.0	
0.5337	0.0	
0.5857	0.0	
0.6428	0.0	
0.7055	0.0	
0.7743	0.0	
0.8498	0.0	
0.9326	0.0	
1.024	0.0	
1.123	0.0	
1.233	0.0	
1.353	0.0	
1.485	0.0	
1.630	2.1600400000000003e-30	
1.789	1.86051e-28	
1.963	8.858899999999999e-27	
2.154	2.46872e-25	
2.364	4.2634000000000006e-24	
2.595	4.8103245139152604e-23	
2.848	3.7534548586960903e-22	
3.126	2.119849288362108e-21	
3.430	9.038782080366558e-21	
3.765	3.023653411228983e-20	
4.132	8.220240406392496e-20	
4.535	1.877295137958796e-19	
4.977	3.715762721136525e-19	
5.462	6.563494045543239e-19	
5.995	1.0597977713365093e-18	
6.579	1.5981487491626899e-18	
7.221	2.2873452715780297e-18	
7.925	3.1468942255476904e-18	
8.697	4.198510275762898e-18	
9.545	5.473444683307699e-18	
10.48	7.006223303058002e-18	
11.50	8.841572724172e-18	
12.62	1.1028793620830001e-17	
13.85	1.3631252054359998e-17	
15.20	1.6723673752699998e-17	
16.68	2.03876713562e-17	
18.31	2.4722584998400006e-17	
20.09	2.984740721599997e-17	
22.05	3.5894009071000015e-17	
24.20	4.3022978589000016e-17	
26.56	5.138886726000002e-17	
29.15	6.121747255e-17	
31.99	7.272438820999998e-17	
35.11	8.617071710999998e-17	
38.54	1.0184868190000001e-16	
42.29	1.2005469080000006e-16	
46.42	1.411580857e-16	
50.94	1.6558324999999995e-16	
55.91	1.9376424400000002e-16	
61.36	2.2616506800000024e-16	
67.34	2.6336501100000006e-16	
73.91	3.059682619999999e-16	
81.11	3.5463981699999995e-16	
89.02	4.1009073100000006e-16	
97.70	4.732060530000001e-16	
107.2	5.44912005e-16	
117.7	6.262575799999999e-16	
129.2	7.183754099999999e-16	
141.7	8.225528499999998e-16	
155.6	9.401973900000002e-16	
170.7	1.0727701899999998e-15	
187.4	1.2221389400000006e-15	
205.7	1.3899343400000009e-15	
225.7	1.5785903699999994e-15	
247.7	1.79031308e-15	
271.9	2.0273732e-15	
298.4	2.2929867e-15	
327.5	2.5900757999999996e-15	
359.4	2.9220339000000004e-15	
394.4	3.2925861999999996e-15	
432.9	3.705593800000001e-15	
475.1	4.165813700000001e-15	
521.4	4.677539200000001e-15	
572.2	5.245342399999999e-15	
628.0	5.873661000000001e-15	
689.3	6.5692007e-15	
756.5	7.335192e-15	
830.2	8.174071000000002e-15	
911.2	9.090048000000001e-15	
1000.	1.0086450999999998e-14
------------------------

ionization
E/N (Td)    Ar - Ionization
------------------------
0.1000	0.000
0.1097	0.000
0.1205	0.000
0.1322	0.000
