# BOLSIG+ version: 11/2019
# From compilation of A.V. Phelps.

mean energy
E/N (Td)    Mean energy (eV)
--------------------
0.1000      0.7886
0.1624      0.9993
0.2637       1.275
0.4281       1.621
0.6952       2.058
 1.129       2.617
 1.833       3.326
 2.976       4.188
 4.833       4.987
 7.848       5.292
 12.74       5.456
 20.69       5.664
 33.60       5.953
 54.56       6.334
 88.59       6.808
 143.8       7.399
 233.6       8.187
 379.3       9.362
 615.8       11.35
 1000        15.10
-------------------


ionization
E/N (Td)  Rate coefficient (m3/s)
-------------------
0.1000  0.000
0.1624  0.000
0.2637  0.000
0.4281  0.000
0.6952  0.000
 1.129  0.000
 1.833  0.000
 2.976  0.000
 4.833  0.000
 7.848  0.4328e-24
 12.74  0.4539e-21
 20.69  0.4226e-19
 33.60  0.9751e-18
 54.56  0.9619e-17
 88.59  0.5543e-16
 143.8  0.2270e-15
 233.6  0.7533e-15
 379.3  0.2198e-14
 615.8  0.5876e-14
 1000   0.1442e-13
-------------------


excitation
E/N (Td)  Rate coefficient (m3/s)
-------------------
0.1000	0.6008e-14
0.1624	0.8722e-14
0.2637	0.1258e-13
0.4281	0.1806e-13
0.6952	0.2591e-13
 1.129	0.3723e-13
 1.833	0.5345e-13
 2.976	0.7653e-13
 4.833	0.1014e-12
 7.848	0.1119e-12
 12.74	0.1174e-12
 20.69	0.1236e-12
 33.60	0.1318e-12
 54.56	0.1419e-12
 88.59	0.1536e-12
 143.8	0.1663e-12
 233.6	0.1801e-12
 379.3	0.1956e-12
 615.8	0.2135e-12
 1000	0.2335e-12
-------------------

inverse excitation
E/N (Td)  Rate coefficient (m3/s)
-------------------
0.1000	0.3689e-14
0.1624	0.4298e-14
0.2637	0.5105e-14
0.4281	0.6165e-14
0.6952	0.7659e-14
 1.129	0.9896e-14
 1.833	0.1309e-13
 2.976	0.1719e-13
 4.833	0.2099e-13
 7.848	0.2240e-13
 12.74	0.2312e-13
 20.69	0.2401e-13
 33.60	0.2522e-13
 54.56	0.2676e-13
 88.59	0.2857e-13
 143.8	0.3063e-13
 233.6	0.3300e-13
 379.3	0.3585e-13
 615.8	0.3933e-13
 1000	0.4330e-13
-------------------
